;Ada;Avey;Babylon;Buoy;K health;WebMD
average_precision;0.389;0.382;0.006;0.217;0.254;0.162
average_recall;0.522;0.699;0.003;0.217;0.32;0.336
average_f1-score;0.446;0.494;0.004;0.217;0.283;0.219
average_NDCG;0.527;0.72;0.002;0.225;0.261;0.273
average_M1;0.417;0.611;0.0;0.153;0.132;0.149
average_M3;0.566;0.806;0.0;0.271;0.257;0.253
average_M5;0.629;0.851;0.0;0.271;0.289;0.328
average_position;1.664;1.582;0.0;1.609;2.244;2.276
average_length (x of gs);1.664;2.254;0.375;1.098;1.379;2.353
