;Ada;Avey;Babylon;Buoy;K health;MA;NJ;TH;average_doctor;WebMD
average_precision;0.383;0.4;0.1;0.2;0.118;0.542;0.5;0.617;0.553;0.15
average_recall;0.458;0.708;0.05;0.117;0.167;0.35;0.283;0.525;0.386;0.267
average_f1-score;0.417;0.511;0.067;0.148;0.138;0.425;0.361;0.567;0.451;0.192
average_NDCG;0.419;0.753;0.028;0.121;0.088;0.374;0.327;0.674;0.458;0.129
average_M1;0.2;0.7;0.0;0.1;0.0;0.3;0.3;0.6;0.4;0.0
average_M3;0.3;0.8;0.0;0.1;0.1;0.4;0.3;0.8;0.5;0.1
average_M5;0.4;0.9;0.0;0.1;0.1;0.4;0.3;0.8;0.5;0.1
average_position;2.5;1.444;0.0;1.0;3.0;1.25;1.0;1.25;1.167;3.0
average_length (x of gs);1.558;2.183;0.38;0.875;1.656;0.85;0.633;0.883;0.789;2.008
