;Ada;Avey;Babylon;Buoy;K health;WebMD
average_precision;0.442;0.437;0.036;0.3;0.358;0.217
average_recall;0.584;0.729;0.021;0.295;0.401;0.443
average_f1-score;0.503;0.546;0.027;0.297;0.378;0.291
average_NDCG;0.634;0.766;0.025;0.332;0.414;0.399
average_M1;0.544;0.675;0.023;0.267;0.32;0.247
average_M3;0.714;0.873;0.026;0.41;0.45;0.411
average_M5;0.764;0.9;0.029;0.41;0.478;0.506
average_position;1.515;1.434;1.364;1.45;1.635;2.202
average_length (x of gs);1.58;2.081;0.512;1.056;1.291;2.308
