;Ada;Avey;Babylon;Buoy;K health;WebMD
average_precision;0.443;0.439;0.264;0.36;0.314;0.219
average_recall;0.583;0.727;0.157;0.353;0.352;0.448
average_f1-score;0.503;0.547;0.197;0.356;0.332;0.294
average_NDCG;0.634;0.765;0.177;0.399;0.363;0.403
average_M1;0.543;0.674;0.163;0.322;0.279;0.249
average_M3;0.715;0.871;0.184;0.492;0.393;0.415
average_M5;0.765;0.899;0.204;0.492;0.419;0.511
average_position;1.518;1.436;1.4;1.447;1.639;2.202
average_length (x of gs);1.571;2.059;0.518;1.052;1.282;2.285
