;Ada;Avey;Babylon;Buoy;K health;WebMD
average_precision;0.485;0.484;0.373;0.422;0.389;0.265
average_recall;0.632;0.75;0.224;0.411;0.412;0.539
average_f1-score;0.549;0.588;0.28;0.416;0.4;0.355
average_NDCG;0.718;0.801;0.263;0.482;0.471;0.508
average_M1;0.643;0.724;0.25;0.415;0.411;0.33
average_M3;0.833;0.923;0.281;0.601;0.53;0.546
average_M5;0.873;0.937;0.312;0.601;0.553;0.661
average_position;1.435;1.329;1.4;1.381;1.413;2.173
average_length (x of gs);1.498;1.904;0.569;1.021;1.204;2.23
