;Ada;Avey;Babylon;Buoy;K health;WebMD
average_precision;0.386;0.379;0.059;0.271;0.217;0.158
average_recall;0.519;0.704;0.029;0.271;0.273;0.328
average_f1-score;0.443;0.493;0.039;0.271;0.242;0.213
average_NDCG;0.524;0.722;0.016;0.279;0.223;0.267
average_M1;0.416;0.612;0.0;0.188;0.112;0.146
average_M3;0.562;0.809;0.0;0.333;0.219;0.247
average_M5;0.624;0.854;0.0;0.333;0.247;0.32
average_position;1.658;1.577;0.0;1.609;2.244;2.276
average_length (x of gs);1.681;2.3;0.38;1.1;1.4;2.403
