Avey;Ada;Symptomate;Babylon
0.5;0.5;0.333;0.0
0.5;0.667;1.0;0.0
0.5;0.333;0.5;0.0
0.833;0.6;1.0;0.0
0.667;0.6;1.0;0.0
0.667;1.0;1.0;0.0
0.5;0.2;1.0;0.0
0.333;0.333;1.0;0.0
0.8;1.0;0.5;0.0
0.8;0.5;0.375;0.0
0.167;0.6;0.286;0.0
0.5;0.0;0.0;0.0
0.333;0.25;0.0;0.0
0.75;0.6;0.5;0.0
0.333;0.333;0.125;0.0
0.667;1.0;0.286;0.0
0.667;0.75;0.375;0.0
0.333;0.2;0.5;0.0
0.5;0.6;0.0;0.0
0.8;1.0;0.0;0.0
0.5;0.25;0.333;0.0
0.333;0.0;0.0;0.0
0.2;0.0;0.125;0.0
0.333;0.6;1.0;0.0
0.8;0.2;0.0;0.0
